species,breed_size,age,location,food_cost,preventive_cost,grooming_cost,total_annual_cost,risk_tier
Dog,Medium,6,Urban,299176,9647,5891,361921,HIGH
Dog,Medium,6,Semi-Urban,298961,8476,4060,358221,HIGH
Cat,Small,5,Urban,212986,9479,3356,259694,HIGH
Dog,Medium,8,Semi-Urban,301889,7335,5235,361627,HIGH
Dog,Medium,12,Semi-Urban,301691,11836,5062,366377,HIGH
Cat,Large,11,Urban,410173,12390,6617,493557,HIGH
Dog,Medium,1,Urban,299788,13789,5482,366917,HIGH
Dog,Medium,4,Urban,298333,10993,6133,362777,HIGH
Dog,Medium,8,Semi-Urban,297902,8668,4535,357770,HIGH
Cat,Medium,8,Urban,301365,10127,5325,364339,HIGH
Dog,Extra Large,11,Semi-Urban,498357,10790,9190,596087,HIGH
Cat,Small,9,Semi-Urban,214062,10780,3313,262378,HIGH
Dog,Extra Large,9,Semi-Urban,495708,11360,8195,592552,HIGH
Dog,Medium,3,Urban,297139,11208,4169,359393,HIGH
Dog,Medium,5,Semi-Urban,303786,7292,5243,363769,HIGH
Cat,Large,8,Urban,411718,9974,7314,493356,HIGH
Cat,Small,4,Urban,215049,10383,3766,263577,HIGH
Dog,Large,4,Urban,408417,12004,6390,490832,HIGH
Dog,Large,11,Urban,414259,13330,7838,500741,HIGH
Dog,Medium,11,Semi-Urban,299436,9855,4260,360583,HIGH
Dog,Extra Large,8,Urban,495859,9837,8423,591236,HIGH
Cat,Extra Large,4,Semi-Urban,499479,8537,8085,593516,HIGH
Dog,Small,9,Semi-Urban,212662,9608,3537,259678,HIGH
Cat,Large,6,Semi-Urban,405837,7120,7168,483143,HIGH
Dog,Large,10,Semi-Urban,405589,11081,5739,485770,HIGH
Cat,Medium,2,Urban,302114,10620,5335,365779,HIGH
Dog,Small,1,Urban,209970,14479,4163,262903,HIGH
Dog,Large,7,Semi-Urban,412860,6696,6954,490486,HIGH
Dog,Medium,13,Urban,304051,14079,4935,371524,HIGH
Dog,Medium,1,Urban,306932,12114,5794,373566,HIGH
Dog,Medium,6,Semi-Urban,296473,7761,4742,355322,HIGH
Dog,Large,10,Urban,406085,14401,7367,492030,HIGH
Dog,Medium,8,Urban,304335,12057,5174,369800,HIGH
Dog,Medium,3,Urban,301090,9816,5506,363873,HIGH
Cat,Large,4,Semi-Urban,406426,7779,6371,483662,HIGH
Dog,Small,10,Urban,213682,11999,4062,264204,HIGH
Cat,Medium,10,Semi-Urban,301422,10136,5051,364100,HIGH
Cat,Medium,9,Urban,302214,12922,4827,367957,HIGH
Cat,Medium,7,Semi-Urban,302590,7709,5071,362675,HIGH
Dog,Medium,13,Urban,303026,12039,4577,367588,HIGH
Cat,Large,5,Urban,407862,8696,7175,487292,HIGH
Dog,Large,10,Semi-Urban,406509,9672,6446,486021,HIGH
Dog,Medium,10,Semi-Urban,303481,8927,4460,364398,HIGH
Dog,Small,12,Semi-Urban,212579,11366,3715,261809,HIGH
Dog,Extra Large,7,Urban,497934,10076,8489,593973,HIGH
Dog,Small,4,Urban,213501,10186,3359,261102,HIGH
Dog,Medium,1,Urban,306389,12498,6006,373626,HIGH
Dog,Large,5,Urban,407691,9472,7231,488053,HIGH
Dog,Small,8,Semi-Urban,215050,9027,3944,262224,HIGH
Dog,Large,8,Urban,405253,9953,7309,485892,HIGH
Dog,Large,9,Urban,408574,12843,6418,492010,HIGH
Cat,Large,4,Semi-Urban,410183,7587,6948,488425,HIGH
Dog,Small,2,Semi-Urban,212105,5976,4249,255679,HIGH
Dog,Medium,8,Urban,300491,10834,5533,364386,HIGH
Dog,Medium,7,Urban,302358,9649,4506,363989,HIGH
Cat,Small,4,Urban,218225,9479,3261,265609,HIGH
Dog,Medium,4,Semi-Urban,298749,7663,4959,358076,HIGH
Dog,Medium,4,Semi-Urban,298609,8509,4977,358909,HIGH
Dog,Extra Large,5,Semi-Urban,495303,7867,7987,587830,HIGH
Cat,Extra Large,11,Semi-Urban,496771,9872,8161,592024,HIGH
Cat,Small,11,Urban,214224,12501,3322,264554,HIGH
Cat,Medium,5,Urban,301985,8800,5415,363630,HIGH
Dog,Medium,2,Urban,306699,10274,4911,370166,HIGH
Dog,Medium,9,Urban,300111,13131,4918,365884,HIGH
Dog,Large,9,Semi-Urban,409474,10344,6806,490617,HIGH
Cat,Large,2,Urban,405548,9415,6883,485122,HIGH
Dog,Medium,13,Semi-Urban,305381,10434,5615,369644,HIGH
Cat,Medium,8,Urban,298513,10370,5220,361218,HIGH
Dog,Large,11,Urban,408918,12064,6528,491636,HIGH
Cat,Small,11,Semi-Urban,212695,10517,4203,261527,HIGH
Dog,Large,13,Urban,406673,13152,6923,490760,HIGH
Dog,Medium,12,Urban,301349,13151,5693,368221,HIGH
Dog,Small,5,Urban,212557,10140,3804,260476,HIGH
Dog,Medium,1,Semi-Urban,301324,11877,4806,365708,HIGH
Dog,Medium,12,Urban,305613,14252,5067,373671,HIGH
Dog,Medium,2,Semi-Urban,298896,6240,5320,357024,HIGH
Dog,Medium,2,Semi-Urban,300788,7612,4922,360320,HIGH
Cat,Extra Large,8,Urban,496840,10506,7786,592401,HIGH
Dog,Extra Large,1,Urban,500389,13753,8830,601417,HIGH
Dog,Large,8,Urban,408142,10893,7071,490021,HIGH
Cat,Large,4,Urban,409220,9480,7368,489978,HIGH
Cat,Extra Large,4,Semi-Urban,495008,7960,8587,588288,HIGH
Dog,Medium,9,Urban,300277,11938,5677,365575,HIGH
Dog,Medium,13,Urban,305717,12691,5264,372222,HIGH
Dog,Large,9,Semi-Urban,408162,9626,6876,488363,HIGH
Dog,Extra Large,6,Urban,498119,11425,7961,595130,HIGH
Dog,Small,4,Urban,213105,10505,3110,260728,HIGH
Cat,Small,12,Urban,215828,13739,3629,268175,HIGH
Dog,Large,2,Urban,407013,10414,7553,488727,HIGH
Dog,Large,4,Urban,408105,11198,7742,491101,HIGH
Dog,Large,9,Semi-Urban,407386,9574,6635,487134,HIGH
Cat,Large,3,Urban,409319,8402,6478,487828,HIGH
Dog,Medium,6,Urban,301765,9794,4265,363197,HIGH
Cat,Large,13,Semi-Urban,411075,11005,6914,493343,HIGH
Dog,Medium,9,Urban,304952,12915,5990,372435,HIGH
Cat,Extra Large,6,Urban,494515,8760,9023,589142,HIGH
Dog,Large,4,Semi-Urban,408053,7559,6564,485502,HIGH
Cat,Small,5,Urban,211242,9888,4405,259365,HIGH
Dog,Large,7,Urban,405015,10299,6856,485495,HIGH
Dog,Large,1,Semi-Urban,405195,10182,5852,484413,HIGH
Cat,Medium,4,Urban,302300,8962,4343,362945,HIGH
Dog,Medium,12,Urban,302556,13344,5615,369742,HIGH
Dog,Small,2,Semi-Urban,213507,7742,3374,258316,HIGH
Dog,Large,3,Urban,407927,10358,6605,488623,HIGH
Dog,Extra Large,8,Urban,497088,10054,8600,593103,HIGH
Dog,Medium,7,Urban,304008,9168,5406,366369,HIGH
Cat,Small,8,Urban,210922,10644,2990,258239,HIGH
Cat,Medium,2,Urban,302159,10133,4898,364768,HIGH
Cat,Extra Large,1,Urban,497627,12128,9215,596815,HIGH
Dog,Small,12,Urban,209802,13744,3432,261024,HIGH
Dog,Small,2,Urban,213442,10951,2986,261485,HIGH
Cat,Large,9,Urban,407667,13758,7389,493136,HIGH
Dog,Large,10,Urban,405637,12291,7676,489444,HIGH
Dog,Medium,1,Urban,301875,12814,5325,368016,HIGH
Cat,Medium,5,Semi-Urban,299694,6000,6245,358729,HIGH
Dog,Medium,12,Urban,298530,13136,3891,362890,HIGH
Dog,Large,12,Semi-Urban,407240,10197,7096,488212,HIGH
Cat,Small,5,Urban,212096,9658,3830,259421,HIGH
Dog,Extra Large,12,Urban,501763,13734,7614,601577,HIGH
Dog,Medium,4,Semi-Urban,299674,8050,5264,359936,HIGH
Dog,Medium,1,Urban,302581,14117,5062,370024,HIGH
Dog,Small,10,Urban,218121,13330,3889,270641,HIGH
Dog,Medium,10,Semi-Urban,304113,9404,4753,366010,HIGH
Cat,Medium,3,Semi-Urban,303849,8455,4816,364688,HIGH
Dog,Small,1,Semi-Urban,213894,10116,3826,262011,HIGH
Dog,Small,3,Urban,209955,10214,4329,258172,HIGH
Dog,Extra Large,3,Urban,493698,9505,9348,589433,HIGH
Dog,Large,11,Semi-Urban,409445,11702,6710,492035,HIGH
Dog,Large,3,Urban,407899,8850,6288,486492,HIGH
Dog,Medium,12,Urban,300548,13561,5615,367682,HIGH
Dog,Medium,13,Urban,302009,11800,4435,365980,HIGH
Cat,Medium,4,Urban,302908,10060,5369,366087,HIGH
Dog,Medium,9,Semi-Urban,299950,10383,5291,362967,HIGH
Dog,Small,3,Urban,215455,10113,4759,264876,HIGH
Dog,Large,1,Urban,409093,12009,6912,492216,HIGH
Dog,Small,7,Urban,211621,9808,3643,258832,HIGH
Dog,Medium,7,Semi-Urban,303208,8292,5801,364896,HIGH
Dog,Medium,12,Semi-Urban,301955,10320,5559,365509,HIGH
Cat,Large,7,Urban,407726,9860,6522,487724,HIGH
Dog,Large,2,Semi-Urban,409731,8096,6538,488019,HIGH
Dog,Large,1,Urban,413565,12479,7164,498189,HIGH
Dog,Medium,9,Urban,301671,12158,4309,365858,HIGH
Dog,Large,12,Urban,408379,10689,7046,490031,HIGH
Dog,Large,13,Urban,404994,14005,7471,490440,HIGH
Dog,Medium,11,Semi-Urban,297761,9203,5541,359380,HIGH
Dog,Small,5,Urban,211802,9758,3405,258709,HIGH
Dog,Extra Large,1,Urban,497410,12525,8146,595793,HIGH
Dog,Large,2,Urban,408050,10791,6646,489310,HIGH
Dog,Large,5,Urban,405965,9813,6376,485477,HIGH
Cat,Medium,7,Urban,298834,10146,5092,361182,HIGH
Dog,Medium,5,Semi-Urban,302950,7978,4633,362895,HIGH
Dog,Medium,12,Urban,302677,13964,4946,369825,HIGH
Cat,Small,1,Urban,215082,12841,3410,266032,HIGH
Cat,Medium,8,Urban,304613,10971,5238,368945,HIGH
Dog,Small,8,Semi-Urban,214628,7516,3562,259561,HIGH
Dog,Large,1,Urban,405612,12222,7500,489134,HIGH
Dog,Small,11,Urban,211716,14004,3694,263826,HIGH
Dog,Medium,12,Semi-Urban,300425,10967,4994,363843,HIGH
Cat,Medium,2,Urban,301557,9941,4566,363473,HIGH
Dog,Medium,12,Urban,300134,13161,5530,366648,HIGH
Dog,Small,4,Urban,208770,9822,3461,255360,HIGH
Cat,Large,3,Urban,409799,9711,7051,490545,HIGH
Dog,Medium,8,Semi-Urban,298473,6965,5217,357253,HIGH
Dog,Medium,6,Semi-Urban,301603,7931,5506,362296,HIGH
Dog,Medium,8,Urban,302948,11182,4852,366829,HIGH
Dog,Large,6,Urban,409813,10304,7544,491810,HIGH
Dog,Medium,8,Urban,303138,9832,4674,365290,HIGH
Cat,Medium,10,Semi-Urban,302658,11349,4606,366404,HIGH
Dog,Medium,10,Semi-Urban,304765,9240,4546,366333,HIGH
Dog,Medium,8,Urban,301217,9246,5705,363593,HIGH
Dog,Small,6,Urban,214267,8779,4231,261368,HIGH
Cat,Small,7,Semi-Urban,216614,8064,3490,262393,HIGH
Dog,Small,8,Urban,212396,9500,4013,259795,HIGH
Cat,Medium,3,Urban,304024,9480,5573,366938,HIGH
Dog,Medium,4,Urban,303156,9297,5491,365635,HIGH
Dog,Small,12,Semi-Urban,210981,11883,4210,261135,HIGH
Dog,Medium,12,Urban,302956,14507,5871,371834,HIGH
Dog,Medium,2,Urban,303228,11340,5939,368583,HIGH
Cat,Large,3,Urban,409776,10826,6802,491514,HIGH
Cat,Small,1,Urban,213342,13265,3356,264457,HIGH
Cat,Extra Large,8,Semi-Urban,497353,7518,8634,590530,HIGH
Dog,Small,4,Urban,212829,9837,3161,259701,HIGH
Cat,Medium,6,Urban,300138,9615,5457,362491,HIGH
Dog,Large,11,Urban,403458,13707,7268,488097,HIGH
Dog,Large,4,Urban,407744,9793,7363,488635,HIGH
Cat,Large,9,Urban,406631,13488,6265,490341,HIGH
Cat,Extra Large,13,Urban,494922,12658,8129,593065,HIGH
Dog,Large,7,Urban,410331,8172,7019,489350,HIGH
Dog,Medium,2,Urban,304650,10349,5551,368632,HIGH
Dog,Medium,13,Semi-Urban,303681,9848,4948,366248,HIGH
Cat,Large,1,Urban,406677,12432,6644,489615,HIGH
Dog,Large,6,Urban,409022,9330,6651,488753,HIGH
Cat,Medium,12,Semi-Urban,300415,11106,5061,364069,HIGH
Dog,Medium,6,Urban,297384,9170,5036,358328,HIGH
Dog,Small,8,Urban,211275,10290,4284,259726,HIGH
Dog,Large,8,Urban,412346,8535,7090,492166,HIGH
Dog,Large,11,Semi-Urban,406069,10132,6698,486333,HIGH
Dog,Large,12,Semi-Urban,410314,9897,7070,491373,HIGH
Dog,Extra Large,13,Semi-Urban,495984,11318,9116,593880,HIGH
Dog,Large,11,Urban,408372,12786,7796,493297,HIGH
Cat,Small,5,Semi-Urban,213477,6993,3095,257099,HIGH
Cat,Small,12,Urban,215664,12905,2539,265774,HIGH
Dog,Large,12,Urban,407091,12634,6749,490445,HIGH
Dog,Large,3,Urban,406981,8376,7281,486033,HIGH
Dog,Medium,5,Semi-Urban,304306,7618,5433,364960,HIGH
Dog,Large,2,Urban,407377,10160,7041,488264,HIGH
Dog,Large,7,Urban,407789,10694,6710,488971,HIGH
Dog,Medium,5,Urban,303849,8946,5461,365994,HIGH
Dog,Medium,1,Semi-Urban,303127,9151,4385,364162,HIGH
Dog,Medium,3,Urban,301596,11129,5075,365470,HIGH
Dog,Extra Large,6,Semi-Urban,496463,8410,8270,590114,HIGH
Cat,Large,4,Semi-Urban,410313,9645,7184,491213,HIGH
Dog,Medium,8,Semi-Urban,306261,7271,5145,366478,HIGH
Dog,Small,8,Urban,214520,9291,3272,261145,HIGH
Cat,Large,13,Urban,408604,12916,6815,492585,HIGH
Cat,Small,3,Urban,213736,11114,2987,262012,HIGH
Dog,Medium,5,Urban,303364,10212,5420,366845,HIGH
Cat,Large,1,Urban,407271,13192,6862,491423,HIGH
Dog,Medium,4,Urban,303543,11289,5757,368677,HIGH
Dog,Large,4,Urban,407581,9597,6452,487174,HIGH
Dog,Extra Large,8,Urban,495207,9915,8307,590443,HIGH
Dog,Medium,10,Semi-Urban,301421,9125,4392,362178,HIGH
Dog,Medium,13,Urban,296605,13770,6281,364154,HIGH
Cat,Small,8,Urban,212411,9398,3759,259403,HIGH
Dog,Medium,9,Urban,304473,13170,4724,370722,HIGH
Dog,Medium,7,Urban,301664,9527,5840,364585,HIGH
Cat,Large,13,Urban,406888,13736,6628,491339,HIGH
Cat,Large,8,Semi-Urban,407553,8460,7438,486968,HIGH
Dog,Small,12,Urban,214214,12835,4028,265738,HIGH
Dog,Large,2,Urban,406126,11128,6850,487719,HIGH
Dog,Extra Large,9,Urban,497107,13361,7862,596079,HIGH
Dog,Medium,3,Urban,298398,9483,6439,361468,HIGH
Dog,Small,1,Urban,212058,14068,3529,264103,HIGH
Dog,Medium,11,Urban,299404,13735,5600,366549,HIGH
Dog,Large,3,Urban,406965,11196,7128,489082,HIGH
Dog,Large,10,Urban,408150,12723,7598,492741,HIGH
Dog,Large,5,Semi-Urban,414481,7228,6684,492651,HIGH
Dog,Large,12,Urban,410854,12601,6467,494410,HIGH
Cat,Medium,4,Urban,302208,9249,5170,364121,HIGH
Dog,Extra Large,8,Semi-Urban,494840,8078,8342,587949,HIGH
Cat,Medium,3,Urban,301477,9792,5899,364743,HIGH
Dog,Extra Large,13,Urban,496119,11170,8462,593113,HIGH
Dog,Small,11,Semi-Urban,213001,9168,2856,258778,HIGH
Dog,Medium,5,Urban,299256,10098,5428,361999,HIGH
Dog,Large,13,Urban,407325,12865,6663,490880,HIGH
Dog,Extra Large,7,Urban,497656,9053,8139,592075,HIGH
Cat,Large,2,Urban,409436,11568,7463,492737,HIGH
Dog,Medium,12,Semi-Urban,302839,10617,5228,366486,HIGH
Dog,Medium,12,Urban,299753,13261,5914,366767,HIGH
Dog,Large,9,Semi-Urban,409061,10376,7463,490935,HIGH
Dog,Medium,6,Urban,301689,8548,6068,363750,HIGH
Dog,Extra Large,3,Urban,499457,9730,8607,595463,HIGH
Cat,Medium,9,Urban,304776,12181,4702,369907,HIGH
Dog,Medium,5,Urban,303104,10155,5090,366101,HIGH
Dog,Large,6,Urban,407530,11140,7554,490157,HIGH
Cat,Medium,3,Urban,300720,10685,5357,364276,HIGH
Dog,Large,5,Semi-Urban,409738,8144,6972,488582,HIGH
Dog,Small,7,Urban,212703,9404,3262,259174,HIGH
Dog,Small,12,Urban,212740,12427,3768,263275,HIGH
Cat,Medium,6,Urban,301469,9432,4600,362826,HIGH
Dog,Large,8,Urban,406780,9777,7216,487338,HIGH
Dog,Medium,9,Urban,304754,12617,5399,371185,HIGH
Cat,Medium,4,Urban,300093,10167,4854,362381,HIGH
Dog,Large,4,Urban,409354,8609,6552,488192,HIGH
Dog,Large,8,Urban,411421,9499,6907,492001,HIGH
Dog,Large,7,Urban,404160,9656,6992,483929,HIGH
Cat,Medium,2,Semi-Urban,299686,8680,5031,360406,HIGH
Dog,Extra Large,5,Urban,497226,9556,7978,591974,HIGH
Dog,Large,5,Semi-Urban,409128,7155,7429,487268,HIGH
Dog,Large,12,Semi-Urban,408300,9623,7391,489111,HIGH
Dog,Small,3,Urban,212412,10988,3439,260864,HIGH
Cat,Medium,9,Semi-Urban,303467,11445,5424,368386,HIGH
Dog,Medium,8,Urban,303303,9304,5662,366009,HIGH
Dog,Medium,8,Urban,300175,10123,5156,362772,HIGH
Cat,Large,5,Urban,407685,8779,6333,486216,HIGH
Dog,Small,10,Urban,211311,13956,3472,263049,HIGH
Dog,Large,10,Urban,409194,12055,7457,493011,HIGH
Cat,Large,8,Urban,408770,10878,6804,490419,HIGH
Dog,Small,7,Urban,211646,10784,3228,259506,HIGH
Dog,Medium,12,Urban,303769,11918,5435,369290,HIGH
Dog,Medium,4,Semi-Urban,303146,8249,5174,364054,HIGH
Dog,Medium,12,Urban,301833,13184,4469,367408,HIGH
Dog,Small,10,Semi-Urban,211797,9490,3130,258079,HIGH
Cat,Medium,4,Urban,299452,10678,5419,362881,HIGH
Dog,Medium,9,Urban,301318,13359,5199,367857,HIGH
Dog,Medium,8,Urban,301867,10467,5101,365050,HIGH
Dog,Small,6,Semi-Urban,209777,8225,4384,255743,HIGH
Dog,Medium,3,Urban,298944,9786,4885,360657,HIGH
Cat,Small,3,Urban,214206,10437,3543,262413,HIGH
Dog,Medium,5,Urban,300358,10125,5181,363013,HIGH
Dog,Large,11,Urban,408389,12330,7691,492671,HIGH
Cat,Extra Large,8,Urban,500678,9847,8759,597176,HIGH
Dog,Small,8,Semi-Urban,210443,8244,4127,256236,HIGH
Cat,Large,12,Semi-Urban,409564,9384,6552,489325,HIGH
Cat,Large,11,Urban,406138,12554,6171,488592,HIGH
Cat,Small,4,Urban,214518,9855,3275,261795,HIGH
Dog,Large,3,Urban,410949,8636,6688,490213,HIGH
Dog,Extra Large,13,Urban,499826,12004,8044,597855,HIGH
Cat,Small,10,Semi-Urban,211834,9756,3973,259397,HIGH
Cat,Small,8,Urban,213241,10467,4588,262540,HIGH
Dog,Large,3,Urban,405178,10703,6823,486109,HIGH
Cat,Medium,4,Semi-Urban,302017,8786,4771,362910,HIGH
Dog,Medium,12,Urban,300206,11875,4634,364222,HIGH
Cat,Medium,8,Semi-Urban,300486,8970,5131,361775,HIGH
Dog,Small,4,Urban,215650,10552,2320,262800,HIGH
Dog,Extra Large,7,Urban,497013,9823,8103,592179,HIGH
Dog,Large,9,Semi-Urban,406375,9019,6561,485248,HIGH
Dog,Large,11,Urban,407589,12340,7252,491258,HIGH
Dog,Small,11,Urban,211527,13106,2725,261461,HIGH
Dog,Large,6,Urban,405130,10634,7385,486621,HIGH
Dog,Medium,9,Urban,303398,12961,5324,369935,HIGH
Dog,Small,7,Urban,213489,10398,3932,261991,HIGH
Dog,Large,13,Urban,409150,13513,6343,493356,HIGH
Dog,Small,1,Semi-Urban,214297,10470,2404,261246,HIGH
Dog,Large,4,Urban,408157,9951,7127,489020,HIGH
Dog,Large,3,Semi-Urban,412886,9542,6010,492703,HIGH
Dog,Small,3,Semi-Urban,211719,8336,3448,257028,HIGH
Cat,Large,12,Urban,409060,13647,6575,493674,HIGH
Dog,Medium,7,Semi-Urban,303336,8055,4780,363596,HIGH
Dog,Medium,11,Urban,301567,13562,5232,368415,HIGH
Dog,Medium,2,Urban,303688,9106,5717,366287,HIGH
Dog,Medium,4,Semi-Urban,303194,8684,5231,364675,HIGH
Cat,Large,4,Urban,407586,9594,6065,486731,HIGH
Cat,Small,13,Semi-Urban,213255,9648,3621,260502,HIGH
Dog,Medium,1,Urban,302549,11802,4774,366993,HIGH
Dog,Medium,2,Urban,302206,10055,4739,364550,HIGH
Dog,Extra Large,11,Urban,497423,12679,9335,597352,HIGH
Dog,Medium,5,Urban,304172,10810,4312,367188,HIGH
Dog,Medium,13,Urban,303644,12892,4596,369301,HIGH
Dog,Medium,3,Semi-Urban,302573,6938,5623,362404,HIGH
Dog,Small,4,Semi-Urban,215368,8561,3633,261696,HIGH
Dog,Large,10,Semi-Urban,409599,9505,7749,490880,HIGH
Dog,Large,5,Semi-Urban,408279,6715,6680,484925,HIGH
Dog,Large,10,Semi-Urban,408834,9180,7509,489351,HIGH
Dog,Large,5,Semi-Urban,410379,7372,6554,487950,HIGH
Dog,Medium,8,Urban,298977,9702,5897,361762,HIGH
Dog,Medium,2,Semi-Urban,305060,6879,5203,364713,HIGH
Dog,Large,8,Semi-Urban,410262,7397,6211,487450,HIGH
Cat,Medium,12,Urban,301113,13243,5460,367788,HIGH
Cat,Medium,13,Semi-Urban,303901,10748,6730,369585,HIGH
Dog,Large,2,Semi-Urban,408201,7616,6013,485104,HIGH
Dog,Medium,7,Urban,303378,9986,5226,366378,HIGH
Dog,Large,1,Semi-Urban,407554,10433,6398,488042,HIGH
Cat,Extra Large,2,Semi-Urban,498210,8774,8234,592500,HIGH
Dog,Medium,8,Urban,300567,10685,4666,363305,HIGH
Dog,Large,13,Urban,406016,11909,7253,488954,HIGH
